a_id,role,is_bot,is_control
74715634,bot_hp,True,False
74718508,bot_hp,True,False
74718509,bot_hp,True,False
74742125,bot_hp,True,False
74871935,ctrl_hpneg,False,True
74911704,bot_hp,True,False
74937944,bot_hp,True,False
74939786,bot_hp,True,False
74977478,bot_hp,True,False
75269897,bot_hp,True,False
75289671,bot_hp,True,False
75313479,bot_hp,True,False
75350830,bot_hp,True,False
75350834,bot_hp,True,False
75391848,bot_hp,True,False
75427009,bot_hp,True,False
75523602,bot_hp,True,False
75633637,bot_hp,True,False
75685098,bot_hp,True,False
75699292,bot_hp,True,False
75763944,bot_hp,True,False
75823521,bot_hp,True,False
75851555,bot_hp,True,False
75851558,bot_hp,True,False
75851559,bot_hp,True,False
75853918,bot_hp,True,False
75856222,bot_hp,True,False
75861673,bot_hp,True,False
75863760,bot_hp,True,False
75864317,bot_hp,True,False
75864396,bot_hp,True,False
75869203,bot_hp,True,False
75869264,bot_hp,True,False
75918703,bot_hp,True,False
75920255,bot_hp,True,False
75922326,bot_hp,True,False
75926456,bot_hp,True,False
75961058,bot_hp,True,False
75961059,bot_hp,True,False
76000026,bot_hp,True,False
76031367,bot_hp,True,False
76050027,bot_hp,True,False
76062324,bot_hp,True,False
76063935,bot_hp,True,False
76063937,bot_hp,True,False
76085030,bot_hp,True,False
76094889,bot_hp,True,False
77644397,ctrl_white,False,True
77714923,bot_hp,True,False
77727143,bot_hp,True,False
77803012,bot_hp,True,False
77803014,bot_hp,True,False
77803015,bot_hp,True,False
77807552,bot_hp,True,False
77809813,bot_hp,True,False
77810032,bot_hp,True,False
77810033,bot_hp,True,False
77818817,bot_hp,True,False
78072137,bot_hp,True,False
78213366,bot_hp,True,False
78224569,bot_hp,True,False
78246625,bot_hp,True,False
78284714,bot_hp,True,False
78287045,bot_hp,True,False
78326117,ctrl_hpneg,False,True
78326226,bot_hp,True,False
78345920,bot_hp,True,False
78375603,bot_hp,True,False
78414542,ctrl_hpneg,False,True
78442197,bot_hp,True,False
78446884,bot_hp,True,False
78472002,bot_hp,True,False
78474501,bot_hp,True,False
78474806,bot_hp,True,False
78486466,bot_hp,True,False
78508254,labeled_pothuman,False,True
78509170,ctrl_hpneg,False,True
79027094,bot_hp,True,False
79032668,bot_hp,True,False
79625873,labeled_bot,True,False
79628738,labeled_bot,True,False
79702333,bot_hp,True,False
79702339,bot_hp,True,False
79751845,bot_hp,True,False
79961730,bot_hp,True,False
79964417,bot_hp,True,False
79995672,bot_hp,True,False
80005891,bot_hp,True,False
80129043,bot_hp,True,False
80416314,bot_hp,True,False
80490946,bot_hp,True,False
80527552,bot_hp,True,False
80566789,bot_hp,True,False
80578482,bot_hp,True,False
80601054,bot_hp,True,False
80616041,bot_hp,True,False
80798358,bot_hp,True,False
80807380,bot_hp,True,False
80807545,bot_hp,True,False
80807550,bot_hp,True,False
80808803,bot_hp,True,False
80809104,bot_hp,True,False
80810809,labeled_pothuman,False,True
80813533,bot_hp,True,False
80815413,bot_hp,True,False
80816259,bot_hp,True,False
80816330,bot_hp,True,False
80818214,bot_hp,True,False
80819632,bot_hp,True,False
80851828,bot_hp,True,False
80851829,bot_hp,True,False
80861570,bot_hp,True,False
80985846,bot_hp,True,False
80990367,labeled_bot,True,False
81012490,bot_hp,True,False
81060345,bot_hp,True,False
81060346,bot_hp,True,False
81060348,bot_hp,True,False
81062637,bot_hp,True,False
81071056,bot_hp,True,False
81071057,bot_hp,True,False
81083214,bot_hp,True,False
81119196,bot_hp,True,False
81150326,bot_hp,True,False
81150328,bot_hp,True,False
81151079,bot_hp,True,False
81155619,bot_hp,True,False
81175466,bot_hp,True,False
81178093,ctrl_hpneg,False,True
81182240,bot_hp,True,False
81193907,bot_hp,True,False
81199398,bot_hp,True,False
81267462,bot_hp,True,False
81268359,bot_hp,True,False
82901997,bot_hp,True,False
82948672,bot_hp,True,False
83000231,bot_hp,True,False
83010020,bot_hp,True,False
83010021,bot_hp,True,False
83010149,bot_hp,True,False
83010212,bot_hp,True,False
83010365,bot_hp,True,False
83010773,bot_hp,True,False
83459128,bot_hp,True,False
83510734,ctrl_hpneg,False,True
83531107,bot_hp,True,False
83551554,bot_hp,True,False
83551555,bot_hp,True,False
83644974,bot_hp,True,False
83645328,bot_hp,True,False
83645361,bot_hp,True,False
83658211,bot_hp,True,False
83672053,bot_hp,True,False
84201866,bot_hp,True,False
84205702,bot_hp,True,False
84924850,bot_hp,True,False
84954242,bot_hp,True,False
84975567,ctrl_hpneg,False,True
85069593,bot_hp,True,False
85074064,bot_hp,True,False
85088042,ctrl_hpneg,False,True
85088491,ctrl_hpneg,False,True
85523778,bot_hp,True,False
85548362,bot_hp,True,False
85599631,bot_hp,True,False
85599635,bot_hp,True,False
85617350,labeled_pothuman,False,True
85627889,bot_hp,True,False
85631793,bot_hp,True,False
85721435,bot_hp,True,False
85726420,bot_hp,True,False
85796119,bot_hp,True,False
85823059,bot_hp,True,False
85867717,bot_hp,True,False
85908158,bot_hp,True,False
85929343,bot_hp,True,False
85993832,bot_hp,True,False
86017107,bot_hp,True,False
86017108,bot_hp,True,False
86017109,bot_hp,True,False
86018875,bot_hp,True,False
86019939,bot_hp,True,False
86022159,bot_hp,True,False
86023767,bot_hp,True,False
86025582,bot_hp,True,False
86025599,bot_hp,True,False
86030709,bot_hp,True,False
86034672,bot_hp,True,False
86034673,bot_hp,True,False
86035042,bot_hp,True,False
86117230,bot_hp,True,False
86117325,bot_hp,True,False
86117331,labeled_pothuman,False,True
86117387,labeled_pothuman,False,True
86117602,bot_hp,True,False
86117666,ctrl_hpneg,False,True
86117725,bot_hp,True,False
86117733,bot_hp,True,False
86122803,bot_hp,True,False
86129660,bot_hp,True,False
86129662,bot_hp,True,False
86151216,bot_hp,True,False
86182643,bot_hp,True,False
86228913,labeled_pothuman,False,True
86230660,bot_hp,True,False
86236580,bot_hp,True,False
86259296,bot_hp,True,False
86262277,bot_hp,True,False
86268149,bot_hp,True,False
87818602,bot_hp,True,False
87905082,bot_hp,True,False
87905559,bot_hp,True,False
87990091,bot_hp,True,False
87990232,bot_hp,True,False
87991632,bot_hp,True,False
88244463,bot_hp,True,False
88452080,bot_hp,True,False
88456457,bot_hp,True,False
88459552,bot_hp,True,False
88459555,bot_hp,True,False
89028707,bot_hp,True,False
89039228,bot_hp,True,False
89048742,bot_hp,True,False
89583735,bot_hp,True,False
89610319,bot_hp,True,False
89610462,bot_hp,True,False
89775399,labeled_pothuman,False,True
89781600,bot_hp,True,False
89819660,bot_hp,True,False
89821265,bot_hp,True,False
90169973,bot_hp,True,False
90169974,bot_hp,True,False
90190530,bot_hp,True,False
90204521,bot_hp,True,False
90289857,bot_hp,True,False
90303089,bot_hp,True,False
90411697,ctrl_hpneg,False,True
90503672,bot_hp,True,False
90512953,bot_hp,True,False
90518154,bot_hp,True,False
90529643,bot_hp,True,False
90542309,bot_hp,True,False
90561393,bot_hp,True,False
90574378,bot_hp,True,False
90633043,bot_hp,True,False
90653960,bot_hp,True,False
90675465,bot_hp,True,False
90681986,bot_hp,True,False
90712298,bot_hp,True,False
90712299,bot_hp,True,False
90712847,bot_hp,True,False
90712848,bot_hp,True,False
90720098,bot_hp,True,False
90727155,bot_hp,True,False
90727156,bot_hp,True,False
90728575,bot_hp,True,False
90728576,bot_hp,True,False
90729055,bot_hp,True,False
90733218,bot_hp,True,False
90733964,bot_hp,True,False
90736689,bot_hp,True,False
90742792,bot_hp,True,False
90761824,bot_hp,True,False
90767236,bot_hp,True,False
90802471,bot_hp,True,False
90862582,bot_hp,True,False
90867809,bot_hp,True,False
90898118,bot_hp,True,False
90913993,bot_hp,True,False
90913994,bot_hp,True,False
90913995,bot_hp,True,False
90914443,bot_hp,True,False
90935703,bot_hp,True,False
92492208,ctrl_white,False,True
92500213,labeled_pothuman,False,True
92563803,bot_hp,True,False
92563804,bot_hp,True,False
92584281,bot_hp,True,False
92646179,bot_hp,True,False
92646180,bot_hp,True,False
92659238,bot_hp,True,False
92660305,bot_hp,True,False
92666210,bot_hp,True,False
92706605,bot_hp,True,False
92890059,bot_hp,True,False
92890060,bot_hp,True,False
93128368,bot_hp,True,False
93161930,bot_hp,True,False
93185642,bot_hp,True,False
93204148,bot_hp,True,False
93307308,bot_hp,True,False
93323761,bot_hp,True,False
93324031,bot_hp,True,False
93325251,bot_hp,True,False
93326658,bot_hp,True,False
93383609,ctrl_hpneg,False,True
93879921,bot_hp,True,False
93913314,bot_hp,True,False
93921722,bot_hp,True,False
94485926,bot_hp,True,False
94530346,bot_hp,True,False
94542721,bot_hp,True,False
94621070,bot_hp,True,False
94644881,ctrl_hpneg,False,True
94679459,bot_hp,True,False
94679461,bot_hp,True,False
94823190,bot_hp,True,False
94967979,bot_hp,True,False
95046982,bot_hp,True,False
95173051,bot_hp,True,False
95258769,ctrl_hpneg,False,True
95294269,bot_hp,True,False
95360957,ctrl_hpneg,False,True
95361268,ctrl_hpneg,False,True
95370396,bot_hp,True,False
95440340,labeled_pothuman,False,True
95449615,bot_hp,True,False
95490561,bot_hp,True,False
95493619,ctrl_hpneg,False,True
95510473,bot_hp,True,False
95521683,bot_hp,True,False
95612737,bot_hp,True,False
95617415,bot_hp,True,False
95619808,bot_hp,True,False
95619809,bot_hp,True,False
95619811,bot_hp,True,False
95619812,bot_hp,True,False
95631751,bot_hp,True,False
95631756,bot_hp,True,False
95631759,bot_hp,True,False
95631761,bot_hp,True,False
95631764,bot_hp,True,False
95631771,bot_hp,True,False
95631774,bot_hp,True,False
95631775,bot_hp,True,False
95633867,bot_hp,True,False
95633868,bot_hp,True,False
95633938,bot_hp,True,False
95636288,bot_hp,True,False
95637243,bot_hp,True,False
95637388,bot_hp,True,False
95639671,bot_hp,True,False
95645205,bot_hp,True,False
95645206,bot_hp,True,False
95645209,bot_hp,True,False
95664160,bot_hp,True,False
95702913,bot_hp,True,False
95704020,bot_hp,True,False
95704506,bot_hp,True,False
95704507,bot_hp,True,False
95704794,bot_hp,True,False
95705105,bot_hp,True,False
95705106,bot_hp,True,False
95705309,ctrl_hpneg,False,True
95790838,labeled_pothuman,False,True
95850349,bot_hp,True,False
95876358,bot_hp,True,False
97581772,bot_hp,True,False
97590338,bot_hp,True,False
97595224,bot_hp,True,False
97597468,bot_hp,True,False
97598205,bot_hp,True,False
97598426,bot_hp,True,False
97598454,bot_hp,True,False
97598480,bot_hp,True,False
97600460,bot_hp,True,False
97860412,bot_hp,True,False
98052562,bot_hp,True,False
98080419,bot_hp,True,False
98085993,bot_hp,True,False
98210872,ctrl_hpneg,False,True
98212829,bot_hp,True,False
98215921,bot_hp,True,False
98218405,bot_hp,True,False
98218614,bot_hp,True,False
98233960,bot_hp,True,False
98234930,bot_hp,True,False
98840200,bot_hp,True,False
98871877,bot_hp,True,False
99260044,bot_hp,True,False
99269999,ctrl_hpneg,False,True
99506884,bot_hp,True,False
99588989,bot_hp,True,False
99666899,bot_hp,True,False
100056250,ctrl_hpneg,False,True
100079910,bot_hp,True,False
100107472,ctrl_hpneg,False,True
100211289,bot_hp,True,False
100259336,bot_hp,True,False
100269203,labeled_pothuman,False,True
100314360,bot_hp,True,False
100318538,bot_hp,True,False
100359027,bot_hp,True,False
100364674,ctrl_hpneg,False,True
100420141,bot_hp,True,False
100420190,bot_hp,True,False
100420263,bot_hp,True,False
100420449,bot_hp,True,False
100426384,bot_hp,True,False
100450517,bot_hp,True,False
100483483,bot_hp,True,False
100486781,bot_hp,True,False
100488678,bot_hp,True,False
100509644,labeled_pothuman,False,True
100527452,bot_hp,True,False
102302285,labeled_pothuman,False,True
102556086,bot_hp,True,False
102774970,bot_hp,True,False
102793458,ctrl_hpneg,False,True
102855812,bot_hp,True,False
102876325,ctrl_white,False,True
102911873,bot_hp,True,False
102912232,labeled_chrome,False,True
103472340,bot_hp,True,False
103858057,ctrl_hpneg,False,True
103858181,labeled_chrome,False,True
103858369,labeled_chrome,False,True
104093012,bot_hp,True,False
104096305,bot_hp,True,False
104130572,bot_hp,True,False
104132775,bot_hp,True,False
104158076,bot_hp,True,False
104169035,labeled_pothuman,False,True
104169131,labeled_chrome,False,True
104268448,labeled_chrome,False,True
104269394,bot_hp,True,False
104269397,bot_hp,True,False
104496455,bot_hp,True,False
104603709,labeled_pothuman,False,True
104604128,bot_hp,True,False
104634312,labeled_chrome,False,True
104697819,bot_hp,True,False
104709323,bot_hp,True,False
104709326,bot_hp,True,False
104709329,bot_hp,True,False
104711269,bot_hp,True,False
104773076,bot_hp,True,False
104785006,labeled_chrome,False,True
104785720,bot_hp,True,False
104794765,labeled_chrome,False,True
104882569,bot_hp,True,False
104926726,ctrl_hpneg,False,True
104944054,bot_hp,True,False
104959152,bot_hp,True,False
104994665,bot_hp,True,False
105001504,bot_hp,True,False
105037763,bot_hp,True,False
105087411,bot_hp,True,False
105140684,bot_hp,True,False
105145134,bot_hp,True,False
106723277,ctrl_white,False,True
106723304,bot_hp,True,False
106789767,bot_hp,True,False
106800277,bot_hp,True,False
107302653,labeled_pothuman,False,True
107391081,bot_hp,True,False
107398522,bot_hp,True,False
107430022,bot_hp,True,False
107532573,bot_hp,True,False
107535755,bot_hp,True,False
107580482,bot_hp,True,False
107597750,labeled_pothuman,False,True
107598900,bot_hp,True,False
107608348,bot_hp,True,False
107667436,bot_hp,True,False
108186450,bot_hp,True,False
108203905,ctrl_hpneg,False,True
108593732,bot_hp,True,False
108811611,bot_hp,True,False
108956013,bot_hp,True,False
109006537,bot_hp,True,False
109319528,bot_hp,True,False
109447004,ctrl_hpneg,False,True
109543923,bot_hp,True,False
109557519,ctrl_hpneg,False,True
109581916,bot_hp,True,False
109593483,bot_hp,True,False
109601256,bot_hp,True,False
109601263,bot_hp,True,False
109601485,bot_hp,True,False
109601492,bot_hp,True,False
109601536,bot_hp,True,False
109601716,bot_hp,True,False
109601737,bot_hp,True,False
109607209,bot_hp,True,False
109701747,bot_hp,True,False
111438046,labeled_pothuman,False,True
111630655,bot_hp,True,False
111634348,bot_hp,True,False
112013007,bot_hp,True,False
112018355,ctrl_white,False,True
112018357,ctrl_white,False,True
112018361,ctrl_white,False,True
112018370,ctrl_white,False,True
112018373,ctrl_white,False,True
112018381,ctrl_white,False,True
112018382,ctrl_white,False,True
112018386,ctrl_white,False,True
112018390,ctrl_white,False,True
113008858,bot_hp,True,False
113520664,ctrl_hpneg,False,True
113673514,bot_hp,True,False
113837808,bot_hp,True,False
113864980,bot_hp,True,False
113920485,bot_hp,True,False
113920502,bot_hp,True,False
113920639,bot_hp,True,False
