a_id,role,is_bot,is_control,a_totalhit,a_start,a_last
1410040448,bot_hp,True,False,15.0,2021-01-15,2022-09-12
1410040501,bot_hp,True,False,8.0,2021-01-15,2023-02-24
1410040521,bot_hp,True,False,8.0,2021-01-15,2023-02-26
1410040622,bot_hp,True,False,8.0,2021-01-15,2022-07-19
1410040624,bot_hp,True,False,8.0,2021-01-15,2023-02-20
1410040718,bot_hp,True,False,4.0,2021-01-15,2022-05-21
1410040761,bot_hp,True,False,7.0,2021-01-15,2022-07-20
1410041143,bot_hp,True,False,10.0,2021-01-15,2023-01-12
1410041170,bot_hp,True,False,12.0,2021-01-15,2022-08-05
1410041184,bot_hp,True,False,5.0,2021-01-15,2022-09-12
1410041220,bot_hp,True,False,8.0,2021-01-15,2023-01-13
1410041423,bot_hp,True,False,12.0,2021-01-15,2022-08-28
1410041444,bot_hp,True,False,8.0,2021-01-15,2023-02-21
1410041461,bot_hp,True,False,10.0,2021-01-15,2023-02-21
1410041478,bot_hp,True,False,10.0,2021-01-15,2022-08-05
1410041718,bot_hp,True,False,9.0,2021-01-15,2022-08-05
1410041754,bot_hp,True,False,10.0,2021-01-15,2022-09-29
1410041826,bot_hp,True,False,12.0,2021-01-15,2023-02-21
1410041924,bot_hp,True,False,11.0,2021-01-15,2023-02-20
1410041975,bot_hp,True,False,11.0,2021-01-15,2022-08-05
1410042255,bot_hp,True,False,5.0,2021-01-15,2023-02-26
1410042415,bot_hp,True,False,7.0,2021-01-15,2022-08-05
1410042621,bot_hp,True,False,6.0,2021-01-15,2022-08-05
1410042674,bot_hp,True,False,8.0,2021-01-15,2023-02-24
1410042920,bot_hp,True,False,6.0,2021-01-15,2023-02-24
1410043101,bot_hp,True,False,7.0,2021-01-15,2022-08-05
1410043314,bot_hp,True,False,6.0,2021-01-15,2022-08-05
1410043356,bot_hp,True,False,10.0,2021-01-15,2022-09-12
1410043436,bot_hp,True,False,118.0,2021-01-15,2023-02-21
1410043520,bot_hp,True,False,8.0,2021-01-15,2022-12-27
1410043622,bot_hp,True,False,11.0,2021-01-15,2022-12-24
1410043852,bot_hp,True,False,8.0,2021-01-15,2022-04-20
1410043865,bot_hp,True,False,11.0,2021-01-15,2022-08-05
1410043983,bot_hp,True,False,10.0,2021-01-15,2023-01-10
1410044160,bot_hp,True,False,9.0,2021-01-15,2022-09-29
1410044412,bot_hp,True,False,6.0,2021-01-15,2023-02-24
1410047927,bot_hp,True,False,8.0,2021-01-15,2023-02-26
1410047933,bot_hp,True,False,10.0,2021-01-15,2022-07-06
