a_id,group,density,active_responder,active_post_lag,active_pre_lag,active_post_ccf,calendar_responder,calendar_post_lag,calendar_pre_lag,calendar_post_ccf
44764,abusive,0.415041782729805,True,4.0,-4.0,0.09473668173799733,True,4.0,-11.0,0.09917327694149317
45598,abusive,0.26062717770034843,True,9.0,-1.0,-0.05647684997478641,False,12.0,-10.0,-0.010730001536170765
46747,abusive,0.28451882845188287,False,7.0,-8.0,-0.0742517617310733,False,1.0,-3.0,0.020951566507686193
46800,abusive,0.30014025245441794,True,2.0,-13.0,0.0683798336565147,True,2.0,-13.0,0.09659498753339098
46985,abusive,0.13966480446927373,True,3.0,-11.0,0.17455865594303543,True,5.0,-6.0,0.10757533698801891
47116,abusive,0.17585484996510817,False,4.0,-14.0,0.1414549816385006,True,9.0,-5.0,0.12363073001413642
47344,abusive,0.47801814375436147,True,4.0,-2.0,0.2988569380157199,True,3.0,-5.0,0.024048744862060482
47921,abusive,0.06088173547935619,False,12.0,-4.0,0.14890520395658202,False,8.0,-8.0,0.08839705621079953
48300,abusive,0.6974143955276031,False,13.0,-13.0,-0.09108938581849198,False,13.0,-5.0,-0.05788266863166646
48570,abusive,0.07077785564120533,False,10.0,-5.0,-0.12944092480231156,False,7.0,-8.0,0.07057838256883774
49403,abusive,0.07627711686494051,True,13.0,-9.0,-0.14014973543258677,False,1.0,-9.0,0.055249555978575636
49463,abusive,0.41497550734779565,True,10.0,-7.0,0.09941835992921234,True,10.0,-13.0,0.10866703588335758
50276,abusive,0.07077785564120533,False,4.0,-10.0,0.1544620102775544,False,5.0,-11.0,0.19743948910917244
50687,abusive,0.4894810659186536,True,12.0,-6.0,0.07998213395898836,True,1.0,-5.0,0.10236867020023788
51530,abusive,0.059322033898305086,True,14.0,-12.0,0.22449053181287523,False,6.0,-1.0,0.1453595054888065
51930,abusive,0.21207865168539325,False,3.0,-4.0,-0.04360562414973502,False,4.0,-13.0,0.020840529689701195
52161,abusive,0.49859154929577465,True,11.0,-12.0,0.09846022970526988,False,1.0,-9.0,0.06377501921132717
52275,abusive,0.23752635277582573,False,3.0,-12.0,0.19670330438162584,True,6.0,-1.0,0.21928386740249478
53726,abusive,0.6159737417943107,False,1.0,-1.0,0.24974632652022216,True,1.0,-1.0,0.24460945894714173
54308,abusive,0.11980267794221283,False,4.0,-9.0,-0.10497992129339923,True,1.0,-12.0,0.025694671639589117
55115,abusive,0.7043048694424842,True,4.0,-14.0,-0.07045964533096853,True,12.0,-10.0,0.041699140895564486
55456,abusive,0.5162200282087447,False,1.0,-5.0,0.07628835806151976,False,1.0,-9.0,0.08657145504064247
55497,abusive,0.4865819209039548,False,12.0,-2.0,0.07536356669638218,True,9.0,-7.0,0.08108947724763559
55653,abusive,0.08268551236749117,True,12.0,-14.0,0.34917752833028143,True,3.0,-6.0,0.03284611928558753
55820,abusive,0.6245589273112209,False,7.0,-11.0,0.10948972443235111,False,13.0,-6.0,0.017255835645126512
56507,abusive,0.15602836879432624,True,9.0,-3.0,0.2041390692482225,True,1.0,-14.0,0.21980922760482746
57313,abusive,0.31541725601131543,True,14.0,-6.0,-0.11610712235244353,True,13.0,-14.0,-0.021130999321352522
57402,abusive,0.2773465067043049,True,1.0,-1.0,0.2630183249117495,False,1.0,-1.0,0.18785491427721132
57429,abusive,0.6225212464589235,False,13.0,-1.0,0.06644547233986127,True,14.0,-10.0,-0.02364567851389164
58077,abusive,0.5483415666901905,False,14.0,-6.0,0.061814836672498326,False,1.0,-6.0,0.024453981908989276
58231,abusive,0.5857445306986592,True,2.0,-6.0,0.09642180745164088,False,8.0,-7.0,0.06694223458706021
59451,abusive,0.08192090395480225,False,7.0,-8.0,0.16508120493314365,True,13.0,-13.0,0.1928761946351081
59767,abusive,0.2549435028248588,False,13.0,-12.0,-0.03039779125316482,True,9.0,-6.0,0.027319309401948325
74354,abusive,0.07714285714285714,True,8.0,-7.0,0.15067608386340836,True,1.0,-9.0,0.09476202783925541
76011,abusive,0.07281903388608507,True,14.0,-8.0,0.03961697560736759,False,14.0,-13.0,-0.0021263174912642337
77331,abusive,0.07330960854092526,False,14.0,-9.0,0.1603381010276301,False,8.0,-13.0,0.06839596745244983
77334,abusive,0.060906515580736544,False,13.0,-11.0,0.15194633880568426,True,5.0,-11.0,0.20179425355138972
