a_id,role,group,n_days,total_hits,mean_block_rate,mean_robots_rate,ever_robots,n_block_days,n_429_days,robots_trend,block_trend,n_events,d_robots,z_robots,d_loghits,d_p404,firstblock_d_robots
136161,bot_hp,bot,30,179,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
136203,bot_hp,bot,4,12,0.0,0.0,0,0,0,,,,,,,,
136219,bot_hp,bot,13,15,0.07692307692307693,0.0,0,1,0,,,,,,,,
136221,bot_hp,bot,259,2968,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
136223,bot_hp,bot,89,107,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
136225,labeled_pothuman,control,195,8366,0.005380062238283715,0.0017094017094017094,1,3,0,0.0,0.0,1.0,0.0,0.0,1.0569788692431792,0.0,0.0
136263,bot_hp,bot,139,459,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
136264,bot_hp,bot,38,69,0.0,0.05263157894736842,1,0,0,0.0,0.0,0.0,,,,,
136267,bot_hp,bot,12,24,0.0,0.0,0,0,0,,,,,,,,
136268,labeled_pothuman,control,831,8462,0.0031953105057798198,0.0,0,8,0,0.0,0.0,6.0,0.0,0.0,-0.16193152421448956,0.032671957671957665,0.0
136269,bot_hp,bot,246,2451,0.013029525032092426,0.0,0,5,0,0.0,0.0,5.0,0.0,0.0,-0.1397722071067267,-0.04363636363636364,0.0
136270,bot_hp,bot,347,712,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
136272,labeled_pothuman,control,151,15080,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
136273,bot_hp,bot,24,82,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
136317,bot_hp,bot,19,47,0.0,0.0,0,0,0,,,,,,,,
136333,bot_hp,bot,9,28,0.0,0.0,0,0,0,,,,,,,,
136345,bot_hp,bot,30,100,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
136354,bot_hp,bot,89,296,0.014981273408239699,0.0,0,2,0,0.0,0.0,1.0,0.0,0.0,0.5042548587917748,0.01818181818181818,0.0
136371,bot_hp,bot,153,5642,0.005609223746478648,0.007625272331154684,1,2,0,0.0,1.0,2.0,0.0,0.0,-1.177462907887811,-0.0005347593582887701,-0.005555555555555556
136372,bot_hp,bot,34,1061,0.0,0.029411764705882353,1,0,0,0.0,0.0,0.0,,,,,
136373,bot_hp,bot,68,1636,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
136382,bot_hp,bot,106,473,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
136385,bot_hp,bot,110,566,0.005454545454545455,0.0,0,3,0,0.0,0.0,1.0,0.0,0.0,0.42653721123972943,0.1,0.0
136386,bot_hp,bot,108,572,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
136388,bot_hp,bot,105,510,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
136390,bot_hp,bot,123,509,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
136473,labeled_pothuman,control,139,9923,2.4893579945731995e-05,0.0,0,1,0,0.0,0.0,1.0,0.0,0.0,-0.6845209656652491,0.021719820126251378,0.0
136489,bot_hp,bot,101,123,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
136492,bot_hp,bot,146,517,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
136513,bot_hp,bot,53,103,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
136529,bot_hp,bot,526,3387,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
136594,bot_hp,bot,15,1804,0.0,0.0,0,0,0,,,,,,,,
136648,labeled_pothuman,control,122,477252,0.0004597774043187367,0.0,0,1,0,0.0,0.0,1.0,0.0,0.0,-3.3033998797726722,0.4,0.0
136649,bot_hp,bot,140,5601,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
136650,labeled_pothuman,control,133,21496,0.0002506265664160401,0.001367053998632946,1,1,0,0.0,0.0,1.0,0.0,0.0,0.35080382824904155,-0.2,0.0
136651,labeled_chrome,control,168,31283,0.042079874105619364,0.005952380952380952,1,23,0,0.0,-1.0,5.0,0.0,0.0,-0.25205861289391773,0.026311111111111108,0.03333333333333333
136652,labeled_chrome,control,138,272649,0.006430164038859691,0.0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.147331573000826,0.1,0.0
136653,labeled_pothuman,control,305,68134,2.0398467008774642e-05,0.003278688524590164,1,3,0,0.0,0.0,3.0,0.0,0.0,0.8003167825817625,-0.019706498951781972,0.0
136655,bot_hp,bot,129,455,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
136656,bot_hp,bot,150,530,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
136657,bot_hp,bot,132,475,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
136689,labeled_chrome,control,705,63786,0.006468207804140893,0.0,0,93,2,0.0,1.0,15.0,0.0,0.0,-0.03541299278086531,-0.005661093503734454,0.0
136756,bot_hp,bot,446,7809,0.0002242152466367713,0.0,0,1,0,0.0,0.0,1.0,0.0,0.0,-1.5829803680622472,-0.10650518701817836,0.0
136789,bot_hp,bot,49,83,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
136790,bot_hp,bot,288,790,0.0,0.0,0,0,3,0.0,0.0,3.0,0.0,0.0,0.015422687901225843,0.0,
136791,bot_hp,bot,57,91,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
136792,labeled_pothuman,control,148,71622,0.0036476694085389736,0.0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.7026404880077302,0.0,0.0
136794,labeled_chrome,control,345,173380,0.005870897648771088,0.0,0,3,0,0.0,1.0,2.0,0.0,0.0,-0.828200083541804,-0.0010966728544909293,0.0
136795,labeled_pothuman,control,144,10912,0.0035063752276867036,0.0,0,1,0,0.0,0.0,0.0,,,,,0.0
136796,labeled_pothuman,control,513,23097,0.0011425208041749393,0.0,0,3,0,0.0,0.0,1.0,0.0,0.0,0.468361161229466,0.0,0.0
136797,labeled_pothuman,control,124,9287,0.0,0.0026881720430107525,1,0,0,0.0,0.0,0.0,,,,,
136798,labeled_pothuman,control,147,14653,0.0,0.0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.8280104219787523,0.0,
136799,bot_hp,bot,118,7220,0.012278735526447556,0.0,0,3,0,0.0,0.0,1.0,0.0,0.0,0.12745737705207993,-0.024851650520817503,0.0
136800,labeled_pothuman,control,146,65338,4.535970244035199e-05,0.0,0,1,0,0.0,0.0,1.0,0.0,0.0,-0.0517927806688645,0.0,0.0
136801,labeled_pothuman,control,313,14392,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
136802,bot_hp,bot,29,1039,0.034482758620689655,0.0,0,1,0,0.0,0.0,1.0,0.0,0.0,1.3891412996551638,-0.09913793103448276,0.0
136803,bot_hp,bot,28,836,0.03571428571428571,0.0,0,1,0,0.0,0.0,1.0,0.0,0.0,-0.4237279286887521,-0.0034782608695652175,0.0
136806,bot_hp,bot,24,305,0.0,0.010416666666666666,1,0,0,0.0,0.0,0.0,,,,,
136807,ctrl_hpneg,control,320,4092,0.0,0.0010416666666666667,1,0,0,0.0,0.0,0.0,,,,,
136808,labeled_pothuman,control,142,32295,0.004315253221456398,0.012910798122065727,1,1,0,0.0,0.0,1.0,0.0,0.0,-3.6932031160693075,0.0,0.03888888888888889
136833,bot_hp,bot,238,815,0.08431857591521456,0.0,0,43,0,0.0,0.0,6.0,0.0,0.0,0.1626296007755078,-0.10625,0.0
136835,bot_hp,bot,115,443,0.02863983798125996,0.0,0,9,0,0.0,0.0,5.0,0.0,0.0,0.3331186440302991,0.15114371897510065,0.0
136836,bot_hp,bot,28,78,0.0035714285714285718,0.0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.11192315758708449,-0.6333333333333333,0.0
136915,bot_hp,bot,40,40,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
136944,bot_hp,bot,359,850,0.0,0.008356545961002786,1,0,0,1.0,0.0,0.0,,,,,
136949,bot_hp,bot,12,14,0.0,0.0,0,0,0,,,,,,,,
136950,labeled_pothuman,control,981,91446,0.001230831023705214,1.3775243133041299e-05,1,41,0,0.0,-1.0,23.0,0.0,0.0,-0.15245647000111506,0.007828393560690804,0.0
136952,ctrl_hpneg,control,221,433,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
136998,bot_hp,bot,243,6422,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
137017,ctrl_hpneg,control,2,3,0.0,0.0,0,0,0,,,,,,,,
137061,bot_hp,bot,603,3482,0.003518470028027504,0.0,0,4,1,0.0,0.0,5.0,0.0,0.0,-0.34791478197834985,0.00511869850579528,0.0
137067,bot_hp,bot,26,668,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
137175,ctrl_hpneg,control,67,1432,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
137210,bot_hp,bot,12,14,0.0,0.0,0,0,0,,,,,,,,
137211,bot_hp,bot,130,480,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
137212,bot_hp,bot,120,440,0.0,0.0,0,0,0,0.0,0.0,0.0,,,,,
