a_id,group,n_days,n_block_days,p404_post_lag,p404_post_ccf,p404_pre_lag,p404_pre_ccf,p404_responder,vol_post_lag,vol_post_ccf,vol_pre_lag,vol_pre_ccf,vol_responder
1393228235,bot,57,3,13.0,0.26720776765404564,-13.0,0.3543128091094177,False,3,0.2394774714517277,-9,-0.2335881901950921,True
1393228239,bot,49,4,6.0,0.23000223678053164,-8.0,0.481363208951894,False,2,-0.24399244346634572,-3,-0.25020229602331373,False
1393228242,bot,46,4,14.0,0.3233804355550771,-2.0,0.12642964161795453,True,4,0.25709172116953527,-13,0.3191508543141467,False
1393228252,bot,44,3,8.0,0.434123056216958,-5.0,0.33885072983676473,True,1,-0.22426714228084643,-8,0.3018388544614927,False
1393228255,bot,51,4,5.0,0.3410381769205496,-2.0,0.20889885043670198,True,1,-0.1664978766827552,-5,-0.2342663670947283,False
1393228292,bot,45,4,8.0,0.2195352761736737,-2.0,0.3697331741540441,False,8,0.27447766453261485,-10,-0.18462240828579976,True
1393228293,bot,41,3,13.0,0.6547326664549868,-1.0,0.29751260940600366,True,8,0.31830790474665194,-12,0.2500683948389235,True
1393228332,bot,49,3,6.0,0.3120073589206677,-10.0,0.31370767150334183,False,5,0.21495323707597858,-13,-0.2095647086103509,True
1393228350,bot,50,4,8.0,0.2261405481665091,-2.0,0.5478167884198046,False,8,0.1948756467778786,-10,0.2431855511318216,False
1393228725,bot,43,3,12.0,0.28791058032690686,-6.0,0.3080701926815441,False,2,-0.22915098164940975,-6,0.30217103666934814,False
1393228792,bot,50,3,8.0,0.2258084851562977,-1.0,0.09929660277771626,True,5,-0.20586432059703197,-14,0.30799207791667627,False
1393228822,bot,41,3,9.0,0.32865497943371025,-2.0,0.5636828650410601,False,9,0.28004345695127897,-12,0.4000927474558398,False
1393228842,bot,50,3,9.0,0.305522961691185,-10.0,0.09388263290341615,True,6,-0.21214863738052084,-14,0.43730973047134875,False
1393228910,bot,54,3,8.0,0.1885701983687261,-2.0,0.5577781648623963,False,9,0.19349357657381247,-9,0.2659051489813833,False
1393229025,bot,45,3,13.0,0.5173556861016623,-10.0,0.27935098425250937,True,7,-0.15873817382028438,-13,0.3446742934396143,False
1393229045,bot,50,3,2.0,0.3248682756126845,-2.0,0.6091506988820229,False,1,-0.19462667255214217,-3,-0.195281005885334,False
1393229055,bot,41,5,12.0,0.35028937594481374,-7.0,0.46982770246307776,False,4,-0.1959421367680683,-7,0.28850012275825326,False
1393229079,bot,53,4,9.0,0.22028089091654984,-6.0,0.18527723965875992,True,4,0.23964628303041713,-10,-0.24355773640425696,False
1393229188,bot,46,3,7.0,0.2131745601707893,-1.0,0.5002517988213246,False,11,-0.13316669513953866,-8,0.3179639855008004,False
1393229560,bot,47,3,12.0,0.3614162333625228,-2.0,0.35268843204283745,True,2,-0.23347798951203394,-8,0.3995550482519125,False
1393229580,bot,44,3,12.0,0.584281323198778,-1.0,0.3311037098824814,True,5,0.179929234177053,-14,0.36752452059121626,False
1393229625,bot,43,3,11.0,0.22515010046787684,-2.0,0.25809115964279056,False,11,0.23198667134339382,-3,-0.24373885710188045,False
1393229732,bot,44,4,10.0,0.21044211160696094,-1.0,0.36087671836959423,False,14,0.33012489612355533,-14,0.3053462115111798,True
1393229738,bot,48,3,13.0,0.450121180134143,-4.0,0.6092617973290004,False,13,0.22027952421904154,-1,-0.30407346685722136,False
1393229877,bot,45,3,14.0,0.35112273890852586,-1.0,0.19500336411360428,True,11,-0.20320404732776368,-13,0.3333283663241348,False
1393229929,bot,52,4,14.0,0.3392757192327954,-9.0,0.507008347675903,False,8,-0.18896667758022392,-14,-0.20074341940016074,False
1393229940,bot,53,3,10.0,0.17441768950715278,-1.0,-0.06879396598065737,True,13,-0.16506524850260038,-9,-0.23386928131517615,False
1393229953,bot,51,4,8.0,0.3792533508092073,-11.0,0.3802200118562997,False,1,-0.23354647352683205,-12,-0.2761270198808519,False
1393229976,bot,55,4,14.0,0.21215885058722186,-5.0,0.36869219153561006,False,1,-0.21712560766895747,-1,-0.25502675128863345,False
1393229977,bot,47,4,13.0,0.3992275181434251,-3.0,0.3525459739857988,True,13,0.27913324682967755,-12,0.3227469622041852,False
1393229980,bot,48,3,2.0,0.2255911701421017,-2.0,0.6348910902050654,False,8,0.12666330286671987,-10,0.3621834448788102,False
1393230048,bot,53,3,7.0,0.08818522128063586,-2.0,0.34512966066677403,False,1,-0.21657859751319858,-6,0.2494118608177722,False
1393230138,bot,44,4,13.0,0.4997009943383357,-9.0,0.3657438275691249,True,13,0.19938220583716723,-9,0.2905470431146992,False
1393230153,bot,50,4,11.0,0.23128121632476134,-1.0,0.5306927930271693,False,1,-0.279994955492862,-6,-0.23600689298907174,True
1393249382,control,500,7,10.0,0.07067647674298895,-12.0,0.1448580749422574,False,10,-0.0496734209878359,-14,0.06109954805517715,False
1393258478,control,642,173,1.0,0.10004922704873877,-6.0,0.11435383692184542,False,7,0.10213517098362407,-8,0.10504986643957212,False
1393486650,bot,54,3,10.0,0.4368079598560461,-1.0,0.4504594628276037,False,7,0.28639760077119664,-8,0.46940153790648925,False
1393496412,bot,187,6,13.0,0.06405963589224797,-14.0,-0.02894732721659144,True,14,-0.09729845632562077,-12,-0.13363941598000562,False
1393558662,bot,642,10,6.0,-0.05797022046197412,-13.0,-0.05781858568423719,True,14,-0.06435735611466543,-3,0.08502608759785475,False
1393560240,bot,609,11,7.0,0.13498169611886696,-3.0,0.07527528941226018,True,8,-0.06467568893163919,-2,-0.07558225757225957,False
1393560829,bot,630,10,12.0,0.13078021863348724,-11.0,0.20593388265613533,False,2,-0.049727189319223215,-13,-0.0844982265757833,False
1393595880,bot,265,14,8.0,0.12596508533473502,-7.0,0.20762821250575392,False,9,0.11822471811943801,-13,0.17085456927410317,False
1393678014,bot,203,3,11.0,0.44824226414853585,-14.0,-0.02229376754316088,True,2,0.15503941952823483,-9,0.13714812237674676,True
1393684927,bot,642,17,11.0,0.1709882804465687,-9.0,0.14664916973694953,True,2,0.06159529635878053,-8,-0.0590252802614962,True
1393685004,bot,614,7,4.0,0.07169125646996578,-9.0,0.07356647221047641,False,8,0.057653079889659814,-10,0.06016040297868834,False
1393712695,bot,615,14,6.0,0.08175484656450446,-9.0,0.07173537157865484,True,11,-0.05674462760864259,-5,-0.07963065056421359,False
1393720360,bot,512,26,2.0,0.16555122056144042,-7.0,0.09512712153014447,True,9,0.11242839617089392,-3,0.09632197237651641,True
1393757170,bot,123,3,10.0,0.19328463168636456,-3.0,0.19386489411022245,False,2,-0.06650441644626795,-6,-0.11238940847639739,False
1393851705,bot,608,18,1.0,0.06215380168666866,-3.0,0.11288104401048807,False,6,-0.0630619651462855,-6,-0.09550644849511405,False
1393941014,bot,178,3,14.0,-0.02999177363990414,-14.0,0.441242482854907,False,11,0.10381287783479684,-10,-0.13474426853862878,False
1393984217,control,160,3,14.0,-0.012300624355523867,-1.0,0.7561168800627994,False,3,0.10964157309112661,-5,0.09054045337933783,True
1394003884,bot,94,38,3.0,0.5807918384249411,-3.0,0.277951840816186,True,8,0.20848588063694093,-12,0.30886870026558033,False
1394017337,bot,611,6,9.0,0.0579553695801048,-1.0,0.047607777112997816,True,3,-0.06487757494545975,-14,0.09535159076303042,False
1394045987,control,107,3,12.0,0.06690181316289255,-11.0,-0.02572311041782263,True,6,0.31307475781677424,-4,-0.07874789638911733,True
1394049764,control,348,4,12.0,-0.02230465481948101,-2.0,-0.021917048045954547,True,13,-0.10143015629071692,-6,-0.06497679799564231,True
1394069424,bot,249,4,10.0,0.1666445226271629,-14.0,0.20305394460945492,False,6,0.12051856525388453,-6,-0.10332453664228627,True
1394073175,bot,135,3,1.0,0.06178286738578204,-10.0,0.019492937250428385,True,9,0.1026927088427118,-3,0.2017692246113753,False
1394078526,control,173,14,1.0,-0.051251490788387796,-14.0,-0.0573479250562888,False,5,-0.13927419893682194,-10,-0.121346034411982,True
1394094559,bot,392,5,4.0,0.1805623917095418,-14.0,-0.03335447739439191,True,9,0.05528821904112717,-5,0.09937402868077895,False
1394270038,control,636,14,10.0,0.11417968617377237,-6.0,0.0624454977835892,True,13,-0.0678495844381159,-7,-0.08228873712753874,False
1394272631,bot,238,5,3.0,0.28370943653200564,-11.0,0.18115397129412125,True,9,0.1364353014637719,-11,0.25221126271523364,False
1394301217,bot,605,12,1.0,0.08555576665835156,-9.0,0.08456408225801611,True,5,-0.06990916477226473,-9,0.07367167666369835,False
1394352347,bot,462,9,1.0,0.07034626686080105,-12.0,0.16463729464870328,False,1,0.0781388629057695,-11,-0.08938615957273169,False
