a_id,t_death,pre_vol,tail_vol
189584094,2020-02-14,96.4,13.733333333333333
1459501219,2021-02-02,157.0,64.81100478468899
432682,2019-12-06,56.6,5.157894736842105
1397574592,2021-08-03,245.8,54.48
136529,2019-06-28,16.0,6.15605749486653
1393227549,2021-02-20,7.4,2.395348837209302
105087411,2021-10-28,11.6,1.4054054054054055
1392206996,2021-02-23,24.0,4.137931034482759
2004905379,2021-04-17,933.0,143.65
945867488,2020-07-28,67.2,13.421052631578947
241803,2021-03-25,5.0,1.8
112631,2021-07-01,74.4,33.00917431192661
2142893537,2021-05-05,716.8,54.04347826086956
1061994059,2020-08-23,80.0,2.5714285714285716
41801,2022-04-17,44.6,6.058441558441558
98043,2021-08-04,936.4,20.4
243088,2019-08-18,67.0,4.638297872340425
1287501301,2020-10-06,76.6,1.6914893617021276
719761320,2020-06-20,35.0,4.598958333333333
1058067012,2022-01-27,53.6,26.3125
1112449096,2020-09-05,26.2,4.413793103448276
1607787737,2021-07-28,88.4,28.454545454545453
694173729,2020-06-08,5167.6,1622.1589743589743
50648,2020-10-13,102.6,49.45762711864407
607301400,2020-06-14,38.6,11.996932515337424
1559575046,2022-12-28,65.8,13.6
1957344825,2021-05-08,66.0,3.0434782608695654
432763,2019-11-13,97.8,28.0
46989,2019-04-20,27.6,11.40625
434274,2019-11-16,159.0,43.743589743589745
313906,2022-05-15,56.4,8.039735099337749
224365,2022-10-03,34.4,2.0
242899,2019-08-17,49.4,6.686067019400353
185606,2021-04-02,16.0,2.257425742574257
1352564245,2021-01-14,397.2,10.445652173913043
1392164726,2021-06-07,175.6,49.592592592592595
1290876311,2021-12-13,84.2,28.176470588235293
1457981896,2022-01-12,60.4,13.148148148148149
285013035,2021-08-21,9.4,3.740740740740741
62930,2019-05-18,93.4,11.80952380952381
142528,2020-09-19,23.2,5.769230769230769
256538,2022-07-19,30.8,1.0
2116088209,2021-05-01,357.0,71.02777777777777
2143961015,2021-05-13,603.0,69.14285714285714
1393712695,2021-02-21,20.8,8.316521739130435
159923,2022-12-15,126.6,5.84
61824,2021-07-20,116.4,45.75
42803,2021-10-10,55.2,26.25581395348837
241138,2021-06-06,13.2,5.338582677165355
1401507825,2021-02-15,6.6,2.3333333333333335
142205,2019-05-29,696.2,31.333333333333332
1395815597,2021-04-03,219.0,13.8
1406119342,2022-02-02,67.6,1.0
2005224107,2021-06-30,148.2,44.523809523809526
403939272,2021-06-26,140.6,18.7
280972,2019-09-06,36.6,1.2299107142857142
175818,2023-02-22,9.4,4.625
734434651,2020-06-11,252.0,10.754716981132075
175580,2022-08-09,62.0,1.5
230881338,2021-11-09,79.0,15.052631578947368
