a_id,group,n_days,real_post_lag,real_post_ccf,real_pre_ccf,real_responder,null_post_ccf_0,null_responder_0,null_post_ccf_1,null_responder_1,null_post_ccf_2,null_responder_2,null_post_ccf_3,null_responder_3,null_post_ccf_4,null_responder_4,null_post_ccf_5,null_responder_5,null_post_ccf_6,null_responder_6,null_post_ccf_7,null_responder_7,null_post_ccf_8,null_responder_8,null_post_ccf_9,null_responder_9
199012,bot,39,2,0.40948884571504823,0.577355258870505,False,-0.07844438652904863,False,-0.07844438652904857,False,0.0647223364073491,False,-0.07844438652904857,False,-0.07844438652904863,False,-0.07844438652904857,False,0.34350865471321,True,-0.07844438652904859,False,-0.07844438652904857,False,-0.07844438652904863,False
199124,bot,314,7,0.08303829552177071,0.20074193683070257,False,-0.025974752761906732,True,0.042806465706764864,True,0.20121708474707906,True,0.06420898704550808,False,0.0709999984410396,True,-0.025974752761906725,True,-0.025895561442510664,False,-0.025974752761906725,False,0.0770782879620066,True,-0.025974752761906722,False
199132,bot,167,8,0.20157544441771424,0.8221861828158077,False,-0.008481623288329984,False,-0.00848162328832998,False,0.2716587881557661,True,-0.007420323993719922,False,-0.008481623288329982,False,-0.008481623288329982,False,-0.008481623288329982,False,-0.008481623288329982,False,-0.008481623288329982,False,-0.008481623288329982,False
199189,bot,53,2,-0.19381444110358298,0.3002113848797546,False,0.23463349462315747,False,0.27006742028409525,True,-0.16117785660504483,False,0.24692079341090595,False,0.26914388046677884,True,0.28145227534172496,True,0.28145227534172496,True,-0.16117785660504483,False,0.24222339799491055,False,0.2776573236558484,True
199271,bot,147,1,0.39364841464494027,0.5989804502761773,False,-0.02992408577566251,False,-0.029924085775662503,False,-0.029924085775662503,False,-0.02992408577566251,False,-0.029924085775662503,False,-0.02992408577566251,False,-0.029924085775662503,False,-0.029924085775662516,False,-0.02992408577566251,False,-0.029924085775662516,False
199278,bot,166,1,-0.018194487231451804,0.37720815977145666,False,-0.018194487231451804,False,-0.018194487231451808,False,-0.01819448723145179,False,-0.018194487231451804,False,-0.018194487231451797,False,0.02405703666864194,False,-0.0181944872314518,False,-0.01819448723145179,False,-0.018194487231451808,False,0.038005593345467624,True
199309,bot,160,3,0.10648980758253382,0.038139639233914904,True,-0.02356433455253782,False,-0.02356433455253782,False,-0.023564334552537806,False,-0.02356433455253782,False,-0.023564334552537806,False,0.300325347826473,False,-0.02356433455253782,False,-0.023564334552537806,False,-0.023564334552537806,False,0.300325347826473,False
199324,bot,155,5,0.20516358849608715,0.4781815286965064,False,-0.02405087596653754,False,-0.024050875966537547,False,-0.024050875966537547,False,-0.024050875966537547,False,-0.024050875966537547,False,-0.024050875966537547,False,-0.02405087596653754,False,-0.02405087596653754,False,-0.024050875966537547,False,-0.02405087596653754,False
199327,bot,172,1,0.265753757184725,0.4250849651944061,False,0.2858137577702737,True,0.2317658288130886,False,0.33415344902763844,False,0.3338059770818517,False,0.08901528939159482,True,0.231939564785982,False,-0.026782300571131033,False,0.28891404453679914,True,-0.026782300571131023,False,0.2911936208446898,True
199329,bot,145,3,0.4269679064637474,0.4288251320782873,False,-0.02665495949687861,False,0.29679327475372175,True,-0.02665495949687861,False,-0.02665495949687861,False,-0.02665495949687861,False,-0.02665495949687861,False,-0.02665495949687861,False,0.14172750903374023,True,-0.02665495949687861,False,-0.026654959496878624,False
199333,bot,172,7,0.13128118689799387,0.5547996977958453,False,-0.0284306884876876,False,-0.02843068848768759,False,-0.0284306884876876,False,-0.0284306884876876,False,-0.0284306884876876,False,0.10622316197523761,False,-0.02843068848768759,False,0.08081645014086687,False,0.1057001316078159,True,0.08099079359667406,False
199378,bot,159,2,0.5105644066560825,0.3014280997034557,True,-0.024330337943036406,False,-0.024330337943036406,False,-0.024330337943036406,False,0.20082109752556293,True,-0.024330337943036406,False,-0.024330337943036406,False,0.19965819878645039,True,-0.024330337943036406,False,-0.02433033794303641,False,-0.024330337943036406,False
199450,bot,156,14,0.12286139983452693,0.3859743245681164,False,-0.012003508887757577,False,-0.012003508887757574,False,0.3941041249089937,False,-0.012003508887757577,False,-0.012003508887757574,False,-0.012003508887757577,False,0.3936386148690252,True,-0.012003508887757577,False,-0.012003508887757572,False,0.3936386148690252,True
199531,bot,152,10,0.036979019164809356,0.4640441504663009,False,0.22690082838649586,True,0.46430308991360375,True,-0.010953549635902749,False,-0.010953549635902749,False,-0.010953549635902749,False,-0.010953549635902745,False,-0.010953549635902749,False,-0.01095354963590275,False,0.22690082838649586,True,-0.010953549635902749,False
199532,bot,147,6,0.10385448499987121,0.696660506342841,False,-0.029392603274364798,False,-0.029392603274364798,False,-0.02939260327436479,False,-0.029392603274364798,False,0.07230952463763038,True,0.07302387651467823,True,0.07254764192997967,True,-0.029392603274364805,False,-0.02939260327436479,False,0.07278575922232895,True
199564,bot,165,1,0.4202825073433851,0.5603607158636853,False,0.11554357509591706,True,0.06835948511914797,False,-0.020077857434179506,False,-0.020077857434179506,False,-0.020077857434179502,False,-0.02007785743417951,False,-0.02007785743417951,False,0.1833698569797935,True,0.11554357509591706,True,-0.02007785743417951,False
199606,bot,271,5,0.02590937737878663,0.017385997553197582,True,0.15315073187841727,False,0.03656141621546365,False,0.036754094422785814,False,0.09136303605742614,False,0.20051669325759933,True,0.11305247014542454,False,-0.018304429695606184,False,0.24357443108805904,True,0.3089638636975911,True,0.23839661714712315,True
199817,bot,152,1,0.39848435523592274,0.3917339779918071,True,-0.02630574640963476,False,0.123413118571497,True,0.19481964428094467,True,0.3982697050823269,True,-0.02630574640963475,False,0.123413118571497,True,0.40866173320813626,True,-0.02630574640963477,False,0.12614435673276755,True,-0.02630574640963477,False
199856,bot,147,9,0.484668389462801,-0.2892084758611515,True,-0.43538235965628197,True,-0.12873360711402698,True,0.04269270226575957,False,0.042692702265759566,True,-0.07769191946171262,False,0.04269270226575957,True,0.042692702265759566,True,0.04269270226575957,True,-0.06875962412255765,False,0.03425942097342057,False
199857,bot,142,2,0.35639951048261714,0.5365172555461517,False,-0.021582654702849133,False,-0.02158265470284914,False,-0.02158265470284914,False,-0.021582654702849133,False,-0.021582654702849136,False,0.0728601945654342,False,-0.021582654702849136,False,-0.02158265470284914,False,-0.021582654702849133,False,-0.021582654702849133,False
200173,bot,36,1,-0.07402802600896548,0.8587251017040001,False,0.0769891470493241,False,-0.0740280260089655,False,-0.0740280260089655,False,-0.0740280260089655,False,-0.0740280260089655,False,0.0769891470493241,False,0.0769891470493241,False,0.0769891470493241,False,-0.0740280260089655,False,-0.0740280260089655,False
200278,bot,352,9,0.8159909611513361,-0.004848966436352528,True,-0.004848966436352528,False,-0.004742978098945915,False,-0.004848966436352527,False,-0.0048489664363525285,False,-0.004848966436352528,False,-0.004848966436352529,True,-0.004848966436352527,False,-0.00484896643635253,False,-0.0048489664363525285,False,-0.0048489664363525285,False
200517,bot,163,2,0.7992667351449538,0.36529223894128254,True,-0.014778356196581334,False,-0.014778356196581334,False,-0.014778356196581334,False,-0.014778356196581327,False,-0.014778356196581334,False,-0.014778356196581337,False,0.25668799845176743,False,-0.014778356196581334,False,-0.014778356196581332,False,-0.014778356196581337,False
200590,bot,140,2,-0.2035829715711659,-0.3103723691248712,False,-0.30609137093004524,False,-0.07618060184811633,False,0.06620526155682369,False,-0.31790792735085094,True,0.06620526155682367,False,-0.13015736616900217,True,0.06620526155682367,False,0.0662052615568237,False,0.06620526155682367,False,-0.3163056824124366,True
200680,bot,149,1,0.31081177183692194,0.4109499415094197,False,-0.0182237738428453,False,-0.018223773842845303,False,-0.0182237738428453,False,-0.0182237738428453,False,-0.017195473124440235,False,-0.017195473124440235,False,-0.018223773842845296,False,-0.0182237738428453,False,-0.018223773842845303,False,-0.018223773842845303,False
200837,bot,159,13,0.17165936005776333,0.6899956637236834,False,-0.01711124717927252,False,-0.017111247179272517,False,-0.017111247179272517,False,-0.01711124717927251,False,0.1135942635331989,False,0.11243928573386425,False,0.11330551908336524,False,-0.01711124717927251,False,-0.017111247179272517,False,0.22676796449816117,True
200897,bot,162,3,0.2566179070725891,0.5126958785140738,False,0.1782327518271769,False,-0.009502867107416895,False,-0.009502867107416893,False,-0.009502867107416895,False,0.17834073895339753,False,-0.009502867107416895,False,-0.009502867107416893,False,-0.009502867107416893,False,-0.009502867107416893,False,-0.009502867107416895,False
201096,bot,144,7,0.1762402538328777,0.21034927370745976,False,0.16665588529040667,True,-0.12869203184504965,False,-0.12262184237756354,False,0.19521190426492838,True,-0.11734116606114825,False,0.1867405021065882,True,0.11019650435806122,False,0.1852240492151086,True,0.12528553222421668,True,0.12615270214814325,True
201245,bot,165,4,0.24867610614306737,0.5266203980540274,False,-0.025414812946098653,False,-0.025414812946098653,False,-0.025414812946098653,False,-0.025414812946098653,False,0.0386211344050627,False,-0.02541481294609865,False,0.07632671039434276,True,-0.025414812946098653,False,-0.025414812946098653,False,-0.025414812946098653,False
201496,bot,150,1,-0.010304070948939674,0.6412540995817565,False,-0.010304070948939672,False,-0.010304070948939668,False,0.01884560344608703,False,-0.010304070948939672,False,0.018438863803365728,False,-0.010304070948939672,False,-0.010304070948939672,False,-0.010304070948939672,False,-0.010304070948939674,False,-0.010304070948939672,False
201504,bot,116,6,0.3354483550469654,0.27488298489309393,True,0.1529444886753112,False,-0.1755383441520935,True,-0.11903611578593411,False,0.1529444886753112,False,0.18029042495387687,False,0.2695726999343461,True,0.18249055430571753,False,0.1513741838185779,False,-0.14181982105455446,False,-0.10233084122378776,False
201642,bot,164,1,0.04594744676724863,0.03599317824699925,True,-0.006251766204790764,False,0.19844805443265454,True,0.09577948612776521,False,-0.006251766204790763,False,0.198903280127178,True,-0.006251766204790764,False,-0.006251766204790764,False,-0.005523405093552999,False,-0.006251766204790761,False,-0.006251766204790763,False
201864,bot,38,1,0.22233538576723494,0.3126094398270404,False,-0.10692129341416261,False,-0.1315537939222355,False,-0.11967740974870038,False,-0.1275949991977238,False,-0.10692129341416261,False,-0.12363620447321207,False,-0.12363620447321207,False,-0.13155379392223554,False,-0.13155379392223554,False,-0.11967740974870038,False
201903,bot,161,5,0.21288082566883895,0.4150890026669783,False,-0.01089592583954308,False,-0.010895925839543078,False,-0.010895925839543076,False,-0.01089592583954308,False,-0.010895925839543078,False,-0.010895925839543075,False,-0.010895925839543075,False,-0.010895925839543078,False,-0.01089592583954308,False,-0.010895925839543075,False
202048,bot,154,3,-0.18654253034886856,-0.20083075525511596,False,-0.13005815652836888,True,0.1901177184286854,True,0.1885957653117574,True,0.2136654393652638,True,0.21915868074435965,True,0.2157585384030657,True,-0.1646361381415122,True,0.10159961459313063,False,0.1958189582735633,True,0.21763084743303543,True
202056,bot,180,14,0.1540482145918326,0.18460104816654818,False,0.12637456738739078,True,0.12729543421739317,True,0.18616903518101546,True,0.13739402545806148,True,0.13831489228806385,False,0.18171555037099035,True,0.17309924089769504,True,0.12422587811738528,True,0.19767486355064198,True,0.1453106546276186,False
202208,bot,307,12,0.2892804189189617,0.3604499777211018,False,0.09563328352690482,True,-0.04515544296023543,True,-0.045155442960235416,True,0.2129806674598335,False,0.17837450211028358,True,-0.04515544296023541,True,-0.045155442960235395,True,0.1787965155958932,True,0.08489731038288831,False,-0.04515544296023542,True
202316,bot,154,1,0.2090203442637415,0.5324023855523629,False,-0.012747476505854529,False,0.016646082330076084,False,-0.012747476505854524,False,0.13496550210707953,True,-0.012747476505854526,False,-0.012747476505854529,False,-0.012747476505854524,False,-0.012747476505854526,False,-0.012747476505854524,False,-0.012747476505854533,False
202317,bot,165,9,0.24682453232380494,0.49281990192889474,False,-0.013235314340238238,False,-0.013235314340238228,False,-0.013235314340238233,False,-0.013235314340238237,False,0.5024882521207,True,0.1614207722961916,True,-0.013235314340238238,False,-0.013235314340238237,False,-0.013235314340238237,False,-0.013235314340238238,False
202512,bot,108,2,-0.11364204745013683,0.18622829353576545,False,0.1694420343175873,False,0.15679916192781643,False,0.1955212232541261,True,0.17678260535367687,True,0.11923582254961496,False,0.14025483100397443,False,0.11923582254961496,False,0.15787130721659348,False,0.19767086699190906,True,0.17008746275494507,False
202524,bot,168,3,-0.014955935226755574,0.4683761178330282,False,-0.014955935226755581,False,0.16074590544529174,False,0.31747924290291707,True,0.31893835853479563,True,-0.014955935226755576,False,-0.014955935226755576,False,-0.014955935226755571,False,-0.01495593522675558,False,0.3189383585347955,False,-0.014955935226755581,False
